Action,Type,Time(s),Time (GMT+0000),Time (GMT+0200),Video time (s),Video time (hh:mm:ss),Application,Activity
Unlock Ubuntu 64-bit VM ,Left Click,1712649819.812355,08:03:39,10:03:39,14,00:00:14,Ubuntu,System
"Select ""user"" profil",ENTER Key,1712649826.260442,08:03:46,10:03:46,20,00:00:20,Ubuntu,System
Open Thunderbird app,Left Click,1712649831.876413,08:03:51,10:03:51,26,00:00:26,Thunderbird,Mail
"Open ""Did you just reset your password?"" mail",Left Click,1712649839.956443,08:03:59,10:03:59,34,00:00:34,Thunderbird,Mail
Minimize Thunderbird window,Left Click,1712649849.860535,08:04:09,10:04:09,44,00:00:44,Thunderbird,Mail
Open Firefox app,Left Click,1712649851.572536,08:04:11,10:04:11,45,00:00:45,Firefox,Browsing
Click on Firefox url bar,Left Click,1712649856.252532,08:04:16,10:04:16,50,00:00:50,Firefox,Browsing
"Search ""linkdin""",ENTER Key,1712649863.892612,08:04:23,10:04:23,58,00:00:58,Firefox,Browsing
"Click on ""Linkedin"" link",Left Click,1712649868.460586,08:04:28,10:04:28,62,00:01:02,Firefox,Browsing
"Click on ""Sign up"" button",Left Click,1712649873.676631,08:04:33,10:04:33,67,00:01:07,Linkedin,Social Network
"Click on ""E-mail"" field",Left Click,1712649875.652629,08:04:35,10:04:35,69,00:01:09,Linkedin,Social Network
"Click on ""Accept and sign-up"" button",Left Click,1712649907.748895,08:05:07,10:05:07,101,00:01:41,Linkedin,Social Network
"Click on ""Save"" Firefox pop-up button",Left Click,1712649910.476870,08:05:10,10:05:10,104,00:01:44,Linkedin,Social Network
"Click on ""Name"" field",Left Click,1712649911.788939,08:05:11,10:05:11,105,00:01:45,Linkedin,Social Network
"Click on ""Continue"" button",Left Click,1712649920.757026,08:05:20,10:05:20,114,00:01:54,Linkedin,Social Network
"Click on ""Learn more"" link",Left Click,1712649931.493002,08:05:31,10:05:31,125,00:02:05,Linkedin,Social Network
"Click on ""CAPTCHA is not visible"" link",Left Click,1712649941.173075,08:05:41,10:05:41,135,00:02:15,Linkedin,Social Network
Miss click,Left Click,1712649949.645162,08:05:49,10:05:49,143,00:02:23,Linkedin,Social Network
"Close ""CAPTCHA is not visible"" tab",Left Click,1712649950.141111,08:05:50,10:05:50,144,00:02:24,Linkedin,Social Network
"Click on ""Phone number"" field",Left Click,1712649952.085172,08:05:52,10:05:52,146,00:02:26,Linkedin,Social Network
"Click on ""Send"" button",Left Click,1712649960.757175,08:06:00,10:06:00,154,00:02:34,Linkedin,Social Network
"Click on ""Security code"" field",Left Click,1712649967.389218,08:06:07,10:06:07,161,00:02:41,Linkedin,Social Network
"Click on ""Send"" button",Left Click,1712650017.149614,08:06:57,10:06:57,211,00:03:31,Linkedin,Social Network
"Click on ""Next"" button",Left Click,1712650037.677727,08:07:17,10:07:17,231,00:03:51,Linkedin,Social Network
"Click on ""Last job held"" field",Left Click,1712650045.197782,08:07:25,10:07:25,239,00:03:59,Linkedin,Social Network
"Select ""Developper"" proposition",Left Click,1712650056.286093,08:07:36,10:07:36,250,00:04:10,Linkedin,Social Network
"Click on ""Type of employment"" dropdown",Left Click,1712650058.469932,08:07:38,10:07:38,252,00:04:12,Linkedin,Social Network
"Select ""CDI"" proposition",Left Click,1712650060.925978,08:07:40,10:07:40,255,00:04:15,Linkedin,Social Network
"Click on ""Last company"" field",Left Click,1712650062.646030,08:07:42,10:07:42,256,00:04:16,Linkedin,Social Network
"Click on ""Last company"" field",Left Click,1712650073.086036,08:07:53,10:07:53,267,00:04:27,Linkedin,Social Network
Click on webpage,Left Click,1712650090.950171,08:08:10,10:08:10,285,00:04:45,Linkedin,Social Network
"Click on ""Continue"" button",Left Click,1712650095.638284,08:08:15,10:08:15,289,00:04:49,Linkedin,Social Network
Miss click,Left Click,1712650098.558176,08:08:18,10:08:18,292,00:04:52,Linkedin,Social Network
"Click on ""Code"" field",Left Click,1712650101.174210,08:08:21,10:08:21,295,00:04:55,Linkedin,Social Network
"Click on ""Previous"" Firefox icon",Left Click,1712650105.918322,08:08:25,10:08:25,300,00:05:00,Linkedin,Social Network
Open Thunderbird window,Left Click,1712650110.502371,08:08:30,10:08:30,304,00:05:04,Thunderbird,Mail
"Open ""Linkedin code"" mail",Left Click,1712650112.158348,08:08:32,10:08:32,306,00:05:06,Thunderbird,Mail
Open Firefox window,Left Click,1712650116.606341,08:08:36,10:08:36,310,00:05:10,Firefox,Browsing
"Click on ""Code"" field",Left Click,1712650117.870342,08:08:37,10:08:37,312,00:05:12,Linkedin,Social Network
"Click on ""Code"" field",Left Click,1712650118.630349,08:08:38,10:08:38,312,00:05:12,Linkedin,Social Network
"Click on ""No, I'm not interested in professional opportunities"" proposition",Left Click,1712650128.862472,08:08:48,10:08:48,323,00:05:23,Linkedin,Social Network
"Click on ""Next"" button",Left Click,1712650129.990450,08:08:49,10:08:49,324,00:05:24,Linkedin,Social Network
"Click on ""Ignore for now"" button",Left Click,1712650147.326575,08:09:07,10:09:07,341,00:05:41,Linkedin,Social Network
"Click on ""Ignore"" button",Left Click,1712650154.582626,08:09:14,10:09:14,348,00:05:48,Linkedin,Social Network
"Click on ""Next"" button",Left Click,1712650157.942705,08:09:17,10:09:17,352,00:05:52,Linkedin,Social Network
Minimize Linkedin messaging dialog box,Left Click,1712650168.358789,08:09:28,10:09:28,362,00:06:02,Linkedin,Social Network
"Click on ""Update profile"" button",Left Click,1712650172.310801,08:09:32,10:09:32,366,00:06:06,Linkedin,Social Network
"Close ""Update profile"" dialog box",Left Click,1712650175.870823,08:09:35,10:09:35,370,00:06:10,Linkedin,Social Network
"Click on ""You"" Linkedin button",Left Click,1712650177.094857,08:09:37,10:09:37,371,00:06:11,Linkedin,Social Network
"Click on ""View profile"" button",Left Click,1712650181.094968,08:09:41,10:09:41,375,00:06:15,Linkedin,Social Network
"Click on ""Edit"" Resume icon",Left Click,1712650188.606912,08:09:48,10:09:48,382,00:06:22,Linkedin,Social Network
"Click on ""Job"" dropdown",Left Click,1712650202.167024,08:10:02,10:10:02,396,00:06:36,Linkedin,Social Network
"Click on ""Job"" dropdown",Left Click,1712650203.799055,08:10:03,10:10:03,397,00:06:37,Linkedin,Social Network
"Close ""Edit"" Resume dialog box",Left Click,1712650207.095159,08:10:07,10:10:07,401,00:06:41,Linkedin,Social Network
"Click on ""Edit"" Experience icon",Left Click,1712650212.359125,08:10:12,10:10:12,406,00:06:46,Linkedin,Social Network
"Click on ""Edit"" developer experience icon",Left Click,1712650214.695140,08:10:14,10:10:14,408,00:06:48,Linkedin,Social Network
"Click on ""Company name"" field",Left Click,1712650219.351157,08:10:19,10:10:19,413,00:06:53,Linkedin,Social Network
"Click on ""Company name"" field",Left Click,1712650226.783221,08:10:26,10:10:26,420,00:07:00,Linkedin,Social Network
"Click on ""Company name"" field",Left Click,1712650233.799307,08:10:33,10:10:33,427,00:07:07,Linkedin,Social Network
"Click on ""Save"" edit experience dialog box",Left Click,1712650239.575356,08:10:39,10:10:39,433,00:07:13,Linkedin,Social Network
"Click on ""Month"" dropdown",Left Click,1712650244.327396,08:10:44,10:10:44,438,00:07:18,Linkedin,Social Network
"Select ""February"" proposition",Left Click,1712650246.831409,08:10:46,10:10:46,441,00:07:21,Linkedin,Social Network
"Click on ""Year"" dropdown",Left Click,1712650248.151418,08:10:48,10:10:48,442,00:07:22,Linkedin,Social Network
"Select ""2022"" proposition",Left Click,1712650251.967506,08:10:51,10:10:51,446,00:07:26,Linkedin,Social Network
"Click on ""Sector"" field",Left Click,1712650255.479510,08:10:55,10:10:55,449,00:07:29,Linkedin,Social Network
"Select ""IT services and consulting"" proposition",Left Click,1712650261.431544,08:11:01,10:11:01,455,00:07:35,Linkedin,Social Network
"Click on ""Save"" button",Left Click,1712650263.935549,08:11:03,10:11:03,458,00:07:38,Linkedin,Social Network
"Click on ""pass"" button",Left Click,1712650270.367642,08:11:10,10:11:10,464,00:07:44,Linkedin,Social Network
Close Linkedin dialog box,Left Click,1712650273.855640,08:11:13,10:11:13,468,00:07:48,Linkedin,Social Network
"Click on ""Back"" Linkedin icon",Left Click,1712650275.471681,08:11:15,10:11:15,469,00:07:49,Linkedin,Social Network
Click on Linkedin search bar,Left Click,1712650287.831760,08:11:27,10:11:27,482,00:08:02,Linkedin,Social Network
"Click on ""david brosset"" proposition",Left Click,1712650295.199881,08:11:35,10:11:35,489,00:08:09,Linkedin,Social Network
Close Linkedin pop-up,Left Click,1712650302.567885,08:11:42,10:11:42,496,00:08:16,Linkedin,Social Network
"Click on ""Connect"" button",Left Click,1712650306.023920,08:11:46,10:11:46,500,00:08:20,Linkedin,Social Network
"Click on ""Send without note"" button",Left Click,1712650309.599952,08:11:49,10:11:49,503,00:08:23,Linkedin,Social Network
"Click on ""David Brosset"" profil",Left Click,1712650314.952086,08:11:54,10:11:54,509,00:08:29,Linkedin,Social Network
"Click on ""Open a new tab"" Firefox icon",Left Click,1712650327.784167,08:12:07,10:12:07,521,00:08:41,Firefox,Browsing
Click on Firefox url bar,Left Click,1712650328.616131,08:12:08,10:12:08,522,00:08:42,Firefox,Browsing
Go to Facebook website,ENTER Key,1712650331.224206,08:12:11,10:12:11,525,00:08:45,Firefox,Browsing
"Click on ""Log In"" button",Left Click,1712650335.784182,08:12:15,10:12:15,529,00:08:49,Facebook,Social Network
"Click on ""Open a new tab"" Firefox icon",Left Click,1712650340.336228,08:12:20,10:12:20,534,00:08:54,Facebook,Social Network
Click on Firefox url bar,Left Click,1712650341.944233,08:12:21,10:12:21,536,00:08:56,Firefox,Browsing
"Search ""start wars"" on Google",ENTER Key,1712650346.712334,08:12:26,10:12:26,540,00:09:00,Firefox,Browsing
"Click on ""Images"" button",Left Click,1712650348.776298,08:12:28,10:12:28,542,00:09:02,Firefox,Browsing
"Click on ""Google search"" field",Left Click,1712650357.272379,08:12:37,10:12:37,551,00:09:11,Firefox,Browsing
"Search ""star wars jaba"" on Google",ENTER Key,1712650358.776450,08:12:38,10:12:38,552,00:09:12,Firefox,Browsing
"Double-click on ""jaba"" string in ""Google search"" field (1)",Left Click,1712650363.976473,08:12:43,10:12:43,558,00:09:18,Firefox,Browsing
"Double-click on ""jaba"" string in ""Google search"" field (2)",Left Click,1712650364.144486,08:12:44,10:12:44,558,00:09:18,Firefox,Browsing
"Click on ""star wars jar jar binks"" proposition",Left Click,1712650367.736592,08:12:47,10:12:47,561,00:09:21,Firefox,Browsing
"Click on ""Jar Jar Binks"" picture",Left Click,1712650379.640646,08:12:59,10:12:59,573,00:09:33,Firefox,Browsing
"Open context menu of ""Jar Jar Binks"" picture",Right Click,1712650382.600647,08:13:02,10:13:02,576,00:09:36,Firefox,Browsing
"Click on ""Open Image in New Tab"" proposition",Left Click,1712650393.680781,08:13:13,10:13:13,587,00:09:47,Firefox,Browsing
"Move to ""Jar Jar Binks"" picture tab",Left Click,1712650395.016707,08:13:15,10:13:15,589,00:09:49,Firefox,Browsing
"Open context menu of ""Jar Jar Binks"" picture",Right Click,1712650396.480726,08:13:16,10:13:16,590,00:09:50,Firefox,Browsing
"Click on ""Save Image As..."" proposition",Left Click,1712650397.472834,08:13:17,10:13:17,591,00:09:51,Firefox,Browsing
"Click on ""Save"" button",Left Click,1712650401.704772,08:13:21,10:13:21,595,00:09:55,Firefox,Browsing
Move to Facebook tab,Left Click,1712650404.848803,08:13:24,10:13:24,599,00:09:59,Firefox,Browsing
Miss click,Left Click,1712650406.937007,08:13:26,10:13:26,601,00:10:01,Facebook,Social Network
"Click on ""Add Picture"" button",Left Click,1712650407.648826,08:13:27,10:13:27,601,00:10:01,Facebook,Social Network
"Click on ""+ Upload photo"" button",Left Click,1712650410.512852,08:13:30,10:13:30,604,00:10:04,Facebook,Social Network
"Double-click on ""Jar Jar Binks"" picture (1)",Left Click,1712650413.344878,08:13:33,10:13:33,607,00:10:07,Facebook,Social Network
"Double-click on ""Jar Jar Binks"" picture (2)",Left Click,1712650413.528880,08:13:33,10:13:33,607,00:10:07,Facebook,Social Network
Drag picture to reposition it,Left Click,1712650421.209034,08:13:41,10:13:41,615,00:10:15,Facebook,Social Network
"Click on ""Save"" button",Left Click,1712650427.313009,08:13:47,10:13:47,621,00:10:21,Facebook,Social Network
"Click on ""Video"" button",Left Click,1712650442.121146,08:14:02,10:14:02,636,00:10:36,Facebook,Social Network
"Play ""5 Minutes Tricks"" video",Left Click,1712650460.401482,08:14:20,10:14:20,654,00:10:54,Facebook,Social Network
"Like ""5 Minutes Tricks"" video",Left Click,1712650526.041945,08:15:26,10:15:26,720,00:12:00,Facebook,Social Network
Close Facebook tab,Left Click,1712650530.705989,08:15:30,10:15:30,724,00:12:04,Facebook,Social Network
"Close ""star wars jar jar binks"" search",Left Click,1712650532.322076,08:15:32,10:15:32,726,00:12:06,Firefox,Browsing
"Close ""Jar Jar Binks"" picture",Left Click,1712650533.162034,08:15:33,10:15:33,727,00:12:07,Firefox,Browsing
"Click on ""Open a new tab"" Firefox icon",Left Click,1712650534.994074,08:15:34,10:15:34,729,00:12:09,Firefox,Browsing
Open Thunderbird window,Left Click,1712650542.058147,08:15:42,10:15:42,736,00:12:16,Thunderbird,Mail
"Click on ""+ New Message"" button",Left Click,1712650545.738153,08:15:45,10:15:45,739,00:12:19,Thunderbird,Mail
"Click on ""To"" field",Left Click,1712650547.754237,08:15:47,10:15:47,741,00:12:21,Thunderbird,Mail
"Click on ""Subject"" field",Left Click,1712650556.826295,08:15:56,10:15:56,751,00:12:31,Thunderbird,Mail
"Click on ""Message"" field",Left Click,1712650560.722292,08:16:00,10:16:00,754,00:12:34,Thunderbird,Mail
Line break,ENTER Key,1712650564.162355,08:16:04,10:16:04,758,00:12:38,Thunderbird,Mail
Line break,ENTER Key,1712650581.690599,08:16:21,10:16:21,775,00:12:55,Thunderbird,Mail
"Click on ""Smiley"" dropdown",Left Click,1712650643.931098,08:17:23,10:17:23,838,00:13:58,Thunderbird,Mail
"Click on ""Smile"" proposition",Left Click,1712650648.187228,08:17:28,10:17:28,842,00:14:02,Thunderbird,Mail
"Click on ""Send"" button",Left Click,1712650663.683341,08:17:43,10:17:43,857,00:14:17,Thunderbird,Mail
Minimize Thunderbird window,Left Click,1712650675.939460,08:17:55,10:17:55,870,00:14:30,Thunderbird,Mail
Click on Firefox url bar,Left Click,1712650678.211455,08:17:58,10:17:58,872,00:14:32,Firefox,Browsing
"Search ""vscode"" on Google",ENTER Key,1712650682.659531,08:18:02,10:18:02,876,00:14:36,Firefox,Browsing
Close Lindedin tab,Left Click,1712650685.883513,08:18:05,10:18:05,880,00:14:40,Firefox,Browsing
"Click on ""Google search"" field",Left Click,1712650690.035557,08:18:10,10:18:10,884,00:14:44,Firefox,Browsing
"Search ""vscode ubuntu install"" on Google",ENTER Key,1712650693.347632,08:18:13,10:18:13,887,00:14:47,Firefox,Browsing
"Open ""Running Visual Studio Code on linux"" link",Wheel Click,1712650701.219711,08:18:21,10:18:21,895,00:14:55,Firefox,Browsing
"Move to ""Running Visual Studio Code on linux"" tab",Left Click,1712650702.731691,08:18:22,10:18:22,896,00:14:56,Firefox,Browsing
Open terminal app,Left Click,1712650726.603937,08:18:46,10:18:46,920,00:15:20,Terminal,System
Drag terminal window,Left Click,1712650729.291958,08:18:49,10:18:49,923,00:15:23,Terminal,System
Click on terminal command field,Left Click,1712650729.724181,08:18:49,10:18:49,923,00:15:23,Terminal,System
"Run ""sudo apt install code"" command",ENTER Key,1712650744.532147,08:19:04,10:19:04,938,00:15:38,Terminal,System_Download
Validate password,ENTER Key,1712650750.796216,08:19:10,10:19:10,944,00:15:44,Terminal,System_Download
Click on background Firefox window,Left Click,1712650755.428223,08:19:15,10:19:15,949,00:15:49,Firefox,Browsing
"Open "".deb package (64-bit)"" link",Left Click,1712650760.276288,08:19:20,10:19:20,954,00:15:54,Firefox,Browsing_Download
Open terminal window,Left Click,1712650772.052379,08:19:32,10:19:32,966,00:16:06,Terminal,System
Click on terminal command field,Left Click,1712650773.460395,08:19:33,10:19:33,967,00:16:07,Terminal,System
"Run ""cd Downloads"" command",ENTER Key,1712650782.492527,08:19:42,10:19:42,976,00:16:16,Terminal,System
"Run ""ls"" command",ENTER Key,1712650784.044546,08:19:44,10:19:44,978,00:16:18,Terminal,System
"Click on ""Download"" Firefox icon",Left Click,1712650798.380649,08:19:58,10:19:58,992,00:16:32,Firefox,Browsing
Click on Firefox window,Left Click,1712650806.076730,08:20:06,10:20:06,1000,00:16:40,Firefox,Browsing
Open terminal window,Left Click,1712650810.812804,08:20:10,10:20:10,1005,00:16:45,Terminal,System
Click on terminal command field,Left Click,1712650811.956810,08:20:11,10:20:11,1006,00:16:46,Terminal,System
Click on terminal command field,Left Click,1712650814.364870,08:20:14,10:20:14,1008,00:16:48,Terminal,System
"Run ""ls"" command",ENTER Key,1712650819.972914,08:20:19,10:20:19,1014,00:16:54,Terminal,System
"Double-click ""code_1.88.0-1712152114_amd64.deb"" (1)",Left Click,1712650826.940972,08:20:26,10:20:26,1021,00:17:01,Terminal,System
"Double-click ""code_1.88.0-1712152114_amd64.deb"" (2)",Left Click,1712650827.156983,08:20:27,10:20:27,1021,00:17:01,Terminal,System
"Paste ""code_1.88.0-1712152114_amd64.deb""  selection",Wheel Click,1712650827.916968,08:20:27,10:20:27,1022,00:17:02,Terminal,System
"Run ""sudo apt install code_1.88.0-1712152114_amd64.deb"" command",ENTER Key,1712650828.605033,08:20:28,10:20:28,1022,00:17:02,Terminal,System
